round,source,target,count,value
2,0,29,0,0
2,0,30,0,37
2,0,31,0,7013
2,1,0,0,0
2,1,1,0,0
2,1,2,0,0
2,1,3,4,423
2,1,4,0,0
2,1,5,0,71
2,1,6,3,11
2,1,7,0,0
2,1,8,0,0
2,1,9,0,0
2,1,10,0,0
2,1,11,0,0
2,1,12,0,0
2,1,13,0,0
2,1,14,0,0
2,1,15,0,0
2,1,16,0,0
2,1,17,0,0
2,1,18,0,0
2,1,19,0,12
2,1,20,0,0
2,1,21,0,1215
2,1,22,0,0
2,1,23,0,0
2,1,24,1,5361
2,1,25,0,10660
2,1,26,0,0
2,1,27,0,14
2,1,28,1,2283
2,1,29,0,13988
2,1,30,0,0
2,1,31,1,24
2,2,0,0,394
2,2,1,0,0
2,2,2,0,0
2,2,3,0,0
2,2,4,0,6
2,2,5,0,0
2,2,6,0,0
2,2,7,0,0
2,2,8,0,0
2,2,9,0,0
2,2,10,0,0
2,2,11,2,20112
2,2,12,4,1729
2,2,13,7,9831
2,2,14,0,0
2,2,15,3,1
2,2,16,0,524
2,2,17,0,0
2,2,18,0,0
2,2,19,0,0
2,2,20,8,20812
2,2,21,0,0
2,2,22,0,0
2,2,23,0,0
2,2,24,0,0
2,2,25,0,0
2,2,26,0,0
2,2,27,0,0
2,2,28,0,0
2,2,29,0,0
2,2,30,0,0
2,2,31,0,0
2,3,0,0,30
2,3,1,0,0
2,3,2,0,0
2,3,3,29,13844
2,3,4,0,0
2,3,5,0,0
2,3,6,6,2267
2,3,7,0,0
2,3,8,0,0
2,3,9,0,0
2,3,10,0,0
2,3,11,0,0
2,3,12,0,0
2,3,13,0,0
2,3,14,0,0
2,3,15,0,0
2,3,16,0,0
2,3,17,0,0
2,3,18,0,0
2,3,19,4,7434
2,3,20,0,0
2,3,21,0,0
2,3,22,0,0
2,3,23,0,0
2,3,24,0,2034
2,3,25,0,3779
2,3,26,0,0
2,3,27,0,86
2,3,28,1,108
2,3,29,0,590
2,3,30,1,6
2,3,31,3,11461
2,4,0,0,2
2,4,1,0,0
2,4,2,0,0
2,4,3,0,0
2,4,4,93,69611
2,4,5,0,0
2,4,6,0,0
2,4,7,0,0
2,4,8,0,0
2,4,9,0,0
2,4,10,0,0
2,4,11,0,3178
2,4,12,0,84
2,4,13,0,0
2,4,14,0,0
2,4,15,0,0
2,4,16,0,0
2,4,17,0,0
2,4,18,0,0
2,4,19,0,0
2,4,20,0,0
2,4,21,0,0
2,4,22,0,0
2,4,23,0,7188
2,4,24,0,0
2,4,25,0,0
2,4,26,0,73
2,4,27,3,9595
2,4,28,0,0
2,4,29,0,0
2,4,30,2,845
2,4,31,0,0
2,5,0,0,0
2,5,1,11,7881
2,5,2,1,31
2,5,3,0,0
2,5,4,0,0
2,5,5,37,17878
2,5,6,0,0
2,5,7,0,191
2,5,8,0,0
2,5,9,1,13026
2,5,10,0,0
2,5,11,0,0
2,5,12,0,36
2,5,13,0,0
2,5,14,0,0
2,5,15,8,8777
2,5,16,0,105
2,5,17,0,0
2,5,18,6,817
2,5,19,0,0
2,5,20,0,0
2,5,21,0,0
2,5,22,3,3652
2,5,23,0,0
2,5,24,0,0
2,5,25,0,0
2,5,26,0,0
2,5,27,0,32
2,5,28,0,3639
2,5,29,0,0
2,5,30,0,0
2,5,31,0,0
2,6,0,0,0
2,6,1,0,0
2,6,2,3,2855
2,6,3,0,0
2,6,4,0,0
2,6,5,4,729
2,6,6,0,0
2,6,7,0,0
2,6,8,0,0
2,6,9,0,0
2,6,10,9,3551
2,6,11,0,0
2,6,12,0,0
2,6,13,0,0
2,6,14,13,16075
2,6,15,0,0
2,6,16,0,0
2,6,17,0,0
2,6,18,0,0
2,6,19,0,0
2,6,20,0,0
2,6,21,8,8118
2,6,22,0,0
2,6,23,0,0
2,6,24,0,0
2,6,25,0,24
2,6,26,0,0
2,6,27,0,0
2,6,28,0,0
2,6,29,1,4549
2,6,30,0,0
2,6,31,0,0
2,7,0,0,0
2,7,1,4,13329
2,7,2,8,3625
2,7,3,0,0
2,7,4,0,0
2,7,5,5,16377
2,7,6,0,0
2,7,7,21,9192
2,7,8,0,0
2,7,9,0,0
2,7,10,0,0
2,7,11,0,0
2,7,12,0,0
2,7,13,0,0
2,7,14,0,0
2,7,15,1,3204
2,7,16,0,0
2,7,17,0,0
2,7,18,0,0
2,7,19,0,0
2,7,20,0,0
2,7,21,0,34
2,7,22,4,2333
2,7,23,0,0
2,7,24,0,0
2,7,25,0,0
2,7,26,0,0
2,7,27,0,0
2,7,28,0,1
2,7,29,0,3
2,7,30,0,0
2,7,31,0,0
2,8,0,0,0
2,8,1,5,607
2,8,2,0,0
2,8,3,0,0
2,8,4,0,0
2,8,5,0,482
2,8,6,0,0
2,8,7,0,0
2,8,8,18,6736
2,8,9,2,9124
2,8,10,0,0
2,8,11,0,0
2,8,12,0,2
2,8,13,0,595
2,8,14,0,0
2,8,15,4,3655
2,8,16,6,7348
2,8,17,0,0
2,8,18,6,14850
2,8,19,0,0
2,8,20,0,0
