round,name,count,localCount,workload,estWorkload,npts,nfdpts
6,2,40,9,291064,652382,11307,98
6,3,157,59,327025,700803,45999,297
6,4,81,20,621140,711958,34681,127
6,5,27,5,574878,751756,12476,901
6,6,123,23,480234,692054,56128,615
6,7,63,13,553150,733977,36111,124
6,8,19,3,658764,720670,9027,318
6,9,35,8,276142,622300,7422,90
6,10,133,34,704645,702420,84942,0
6,11,19,2,843874,712333,6543,542
6,12,34,10,286755,742150,21451,536
6,13,68,17,398239,619193,22644,225
6,14,22,6,392490,674854,14155,1204
6,15,66,19,307141,678955,20544,453
6,16,42,11,225686,698571,14365,15
6,17,26,6,268657,739934,7245,164
6,18,29,7,753257,713694,9007,1393
6,19,48,13,255131,695965,18109,143
6,20,30,6,436822,648500,7259,192
6,21,57,15,273731,681103,16308,302
6,22,32,9,162230,693461,10990,168
6,23,74,20,351434,711081,29442,167
6,24,30,8,237724,687682,25956,14487
6,25,44,12,272618,696075,14033,72
6,26,42,12,136582,587861,21882,83
6,27,72,26,381271,664661,43975,3658
6,28,64,14,398200,694316,27565,236
6,29,152,30,525564,697831,50811,948
6,30,28,7,171813,779450,7633,407
6,31,69,18,386831,694593,41245,7686
6,32,89,19,485110,690017,26100,112
6,33,78,21,496780,693897,31502,137
6,34,38,10,283454,720534,16636,254
6,35,62,14,278255,780478,17500,36
6,36,88,26,515167,684105,50391,269
6,37,21,5,545325,682551,13184,5388
6,38,93,21,459531,685187,35962,55
6,39,79,19,551253,714398,49582,186
6,40,35,6,602063,677874,15363,512
6,41,61,14,543429,685697,22710,593
6,42,87,34,329445,670773,34181,739
6,43,51,9,434205,698755,18076,3684
6,44,67,16,356934,696792,16886,314
6,45,83,23,609774,631432,59320,228
6,46,25,6,257304,564047,6521,215
6,47,18,6,507827,683105,11406,6408
6,48,55,10,388378,649753,14975,108
6,49,54,14,333874,668912,25392,781
6,50,103,30,434381,691044,46911,109
6,51,39,10,218832,661020,13617,68
6,52,58,13,392929,682450,21409,64
6,53,71,20,491246,692740,31352,699
6,54,17,4,434073,680595,4403,197
6,55,40,13,167818,713779,13417,1498
6,56,37,13,377972,718926,14751,2147
6,57,32,9,312842,701866,18313,546
6,58,178,63,666566,696414,105392,227
6,59,54,24,276643,711434,27550,2699
6,60,12,5,632555,778877,7406,1873
6,61,113,42,380534,692069,69979,15075
6,62,50,19,321354,702647,21311,898
6,63,103,31,287334,696311,36008,270
7,0,34,7,356425,630734,8194,135
7,1,18,3,557922,627576,7177,363
7,2,22,4,535954,585345,10252,773
7,3,189,77,416305,596739,61399,344
7,4,93,24,439756,609655,36276,15
7,5,38,10,318448,610307,7802,125
7,6,96,23,393361,628152,34839,828
7,7,119,31,628906,622087,73920,0
7,8,42,6,580309,619844,16555,246
7,9,21,5,391821,573517,3514,181
7,10,51,14,340189,618176,19663,53
7,11,26,5,490704,612715,7209,255
7,12,35,9,303552,647818,20207,454
7,13,47,12,282558,658699,19684,51
7,14,16,2,689015,622105,6615,423
7,15,79,23,375786,652608,28698,476
7,16,37,10,287391,694267,9057,81
7,17,29,6,294039,596714,6866,175
7,18,38,6,477249,603555,15136,288
7,19,77,19,413582,589280,22676,110
7,20,50,12,460405,651514,15934,272
7,21,39,10,194151,641860,10215,164
7,22,46,12,289281,679671,15905,333
7,23,84,23,386864,623493,31059,83
7,24,34,8,346709,657177,21341,7297
7,25,109,35,414563,612232,45348,111
7,26,65,21,188543,547988,26059,173
7,27,41,17,192785,643404,21143,4077
7,28,83,18,380839,614230,32548,145
7,29,83,24,435897,590072,34274,383
7,30,24,6,185004,693627,7181,338
7,31,65,16,375323,589874,39013,7424
7,32,80,18,439730,605308,25249,94
7,33,64,14,677369,616777,20560,556
7,34,43,14,282251,644196,18490,213
7,35,32,7,290017,631013,8773,82
7,36,81,26,480570,603459,45131,394
7,37,13,4,499445,611253,6645,1163
7,38,46,12,297090,672237,12883,113
7,39,113,27,593289,618940,77594,0
7,40,68,13,798528,655811,34749,661
7,41,33,10,402213,625756,15328,1193
7,42,90,34,337100,606367,30763,668
7,43,43,9,301115,590108,21835,6509
7,44,46,13,251763,579676,10758,221
7,45,77,21,560165,589783,55688,215
7,46,63,14,539511,619893,23657,424
7,47,18,7,436858,626668,11422,6362
7,48,47,9,261081,630145,15533,173
7,49,30,7,441421,591448,11113,1273
7,50,56,12,264558,630873,14651,68
7,51,64,11,298508,633963,19678,41
7,52,61,12,442125,567717,23416,92
7,53,58,16,429897,625997,24009,579
7,54,22,5,305212,626613,16282,10294
7,55,60,19,360147,608909,31626,530
7,56,35,15,244355,603531,14786,2220
7,57,37,8,226998,543733,14905,243
7,58,174,62,594697,621496,97758,262
7,59,54,24,231569,633772,26475,2488
7,60,23,8,515705,649815,8414,1074
7,61,106,40,410320,613860,63783,11873
7,62,48,17,344284,646633,21960,1082
7,63,72,18,188042,648227,22038,107
8,0,38,7,388198,617684,10171,138
8,1,14,2,483841,504992,4959,277
8,2,32,5,332314,583675,11707,548
8,3,135,49,252668,573908,30030,139
8,4,98,26,415685,565315,35272,10
8,5,16,2,565992,606001,6555,352
8,6,88,21,412104,567444,32868,998
8,7,111,33,582423,578508,67355,0
8,8,69,19,362538,529030,22566,154
8,9,22,3,437516,555507,9704,202
8,10,88,25,383700,584600,33093,27
8,11,28,8,327041,601205,4536,121
8,12,38,10,272878,583287,19573,525
8,13,46,11,246872,507379,16631,19
8,14,41,9,272591,571198,11561,348
8,15,65,19,328842,600424,23543,1256
8,16,38,9,279307,575555,8198,79
8,17,21,5,255285,553917,5591,142
8,18,25,7,444901,582349,8959,949
8,19,63,11,567858,575469,15432,244
8,20,40,8,363004,620956,9627,161
8,21,64,21,309480,554473,29497,248
8,22,29,7,176016,565788,7873,202
8,23,103,23,387554,576840,33433,112
8,24,40,9,254622,579951,27110,8796
8,25,102,28,316034,570778,29919,76
8,26,78,29,220245,575130,30182,206
8,27,76,21,366330,567904,41249,3264
8,28,98,20,394386,560554,35819,82
8,29,91,24,453658,546713,42067,226
8,30,19,4,194959,563413,5181,346
8,31,67,16,321572,575189,34411,7673
8,32,75,20,371455,576564,21393,76
8,33,58,14,509352,549254,17247,291
8,34,55,17,291105,587771,17816,186
8,35,29,7,235763,564376,7469,65
8,36,57,17,387140,583837,36844,352
8,37,13,4,444547,540613,6076,1017
8,38,42,10,202244,573108,9162,85
8,39,91,21,551970,578582,72327,0
8,40,34,5,451260,527343,13825,274
8,41,46,14,360132,612377,17281,957
8,42,30,9,384922,619774,8785,927
8,43,23,6,287755,569195,17788,6723
8,44,64,12,679412,555940,38117,581
8,45,79,21,545598,557039,51692,205
8,46,64,15,467101,542972,19835,492
8,47,27,8,428704,563361,12627,6198
8,48,44,12,247018,559745,16675,224
8,49,26,6,460431,548603,8248,644
8,50,32,8,226492,525430,7966,84
8,51,73,16,417299,570604,26233,78
8,52,71,16,510909,577564,22445,162
8,53,65,16,462231,582402,22707,534
8,54,19,4,369362,538132,13403,7358
8,55,46,16,189839,552274,19360,1243
8,56,38,15,292352,571970,13288,2211
8,57,39,12,248497,527929,9484,261
8,58,50,16,312617,573384,20723,1046
8,59,57,25,248107,599244,26203,2318
8,60,170,54,446827,574717,79231,7480
8,61,204,68,490434,577603,73062,2866
8,62,77,23,278352,549207,23268,350
8,63,102,26,205900,571895,29016,209
9,0,17,4,394489,591555,6185,166
9,1,19,3,512083,627284,7001,267
9,2,17,4,296231,499281,9795,537
9,3,41,9,366704,543330,8743,171
9,4,89,25,381799,513813,31679,15
9,5,10,1,316949,348854,3353,172
9,6,98,22,392158,525559,38427,1036
9,7,132,37,537350,533090,64222,0
9,8,65,15,393011,572537,21110,197
9,9,38,5,568535,599696,14526,298
9,10,62,17,283184,520734,17769,50
9,11,33,8,208943,526405,8271,210
9,12,41,11,296143,533488,19930,572
9,13,53,14,256575,514225,18005,39
9,14,33,8,326254,607636,9738,441
9,15,42,9,80588,532781,6589,83
9,16,36,8,267283,511139,7531,80
9,17,36,7,347854,575236,8595,162
9,18,25,7,491468,548011,9227,642
9,19,55,13,462781,556843,15873,346
9,20,29,9,385384,574009,4633,162
9,21,106,31,476869,482598,49608,206
9,22,18,4,411284,547021,10875,3294
9,23,81,25,382001,531557,30967,78
9,24,29,8,213635,525812,25362,12015
9,25,118,35,347866,530270,35441,136
9,26,25,6,240548,458016,18252,8021
9,27,47,17,206325,535717,21338,3814
9,28,81,20,382471,529057,38923,52
9,29,95,26,410757,529228,36159,256
9,30,21,5,200871,581031,6486,422
9,31,56,14,306553,530093,35631,7457
9,32,91,22,390829,509556,23777,80
9,33,54,13,412741,522860,15907,242
9,34,46,15,321163,518826,12812,481
9,35,38,8,213880,501847,8593,49
9,36,41,12,198868,514298,17084,178
9,37,14,5,445846,624957,6581,1487
9,38,45,13,224284,524561,12490,68
9,39,111,26,500602,528087,68515,0
9,40,37,5,551015,482921,13021,632
9,41,37,13,283391,506575,15179,677
9,42,24,7,322568,527097,7275,311
9,43,18,7,293077,514512,10754,6389
9,44,60,11,637013,577280,35294,268
9,45,77,19,512862,516802,50035,194
9,46,60,14,460329,498630,17842,534
9,47,66,17,308844,511236,24074,1039
9,48,47,12,167396,399754,13908,22
9,49,29,6,432820,539457,8923,598
9,50,24,6,216836,519046,6578,81
9,51,79,18,276904,550290,23097,8
9,52,71,14,484225,521529,18208,192
9,53,55,15,292500,515237,22319,580
9,54,70,17,347963,515207,22039,574
9,55,55,18,304626,534123,27206,476
9,56,35,15,278495,540648,13389,2235
9,57,63,15,344064,531511,16120,361
9,58,56,24,256542,516758,22657,2358
9,59,70,22,259375,520777,23548,361
9,60,136,40,489530,553722,71946,3808
9,61,177,65,368588,522927,62513,5895
9,62,81,28,172272,422954,24995,168
9,63,201,75,333995,533119,53928,355
10,0,17,4,388748,612000,6671,162
10,1,14,2,354653,504674,5030,191
10,2,22,5,256678,412185,8448,569
10,3,35,8,380148,476594,7855,184
10,4,89,25,319067,483928,28514,6
10,5,18,2,454303,527126,5888,362
10,6,43,13,271334,561481,12755,87
10,7,111,33,491570,491594,61087,0
10,8,57,15,400288,487230,15672,212
10,9,39,5,337087,412609,10735,144
10,10,46,13,212882,450489,19306,186
10,11,26,6,178139,448239,6536,198
10,12,45,13,292244,492371,22443,555
10,13,56,16,239682,499115,18932,23
10,14,24,6,224688,538200,5866,97
10,15,39,10,88116,521233,7013,93
10,16,32,7,293205,524521,6843,94
10,17,39,11,334108,565988,11734,362
10,18,40,11,245240,428549,28858,7232
10,19,82,20,415858,481318,19095,122
10,20,29,9,307174,509430,4200,126
10,21,106,30,472409,470857,47359,200
10,22,12,4,416729,582578,6680,1441
10,23,88,26,309173,455742,25337,52
10,24,33,13,257059,480479,13342,1932
10,25,79,21,349357,477960,26810,33
10,26,21,5,459331,568918,15085,7418
10,27,119,48,354248,499466,59027,9426
10,28,85,18,316441,474974,27721,139
10,29,55,11,392256,494516,27591,115
10,30,23,5,185410,462435,4679,237
10,31,43,10,390760,443662,11616,670
10,32,82,25,344019,498925,23012,49
10,33,34,7,229433,416068,16053,2187
10,34,39,13,320748,450959,10663,447
10,35,31,7,243498,487826,8038,71
10,36,62,18,310524,496527,21737,682
10,37,16,5,427387,499411,5990,864
10,38,30,6,261858,493707,6956,125
10,39,112,25,464153,485976,57944,0
10,40,54,10,663269,493863,13696,906
10,41,54,16,284709,447795,15693,507
10,42,38,10,325391,519393,10557,381
10,43,30,8,174074,506050,22603,15385
10,44,59,12,421690,492995,34763,42
10,45,75,19,485379,488482,45285,185
10,46,56,14,406634,507153,19429,195
10,47,69,19,353483,493354,40652,1435
10,48,32,7,208824,400197,10295,166
10,49,35,8,389759,481395,9216,479
10,50,100,28,243257,411004,25164,44
10,51,69,14,272836,522875,20311,33
10,52,70,15,378162,489612,19214,128
10,53,41,12,311202,500240,16791,605
10,54,82,20,355829,477023,31432,341
10,55,42,14,158541,484994,14294,1397
10,56,19,7,362462,512569,9681,5197
10,57,56,16,276052,505647,20832,1036
10,58,95,34,275311,491534,25980,382
10,59,55,24,243832,496560,22364,2160
10,60,171,53,461885,478910,64968,87
10,61,100,22,358443,495877,36726,840
10,62,77,25,183360,482152,21068,147
10,63,224,86,368644,469958,58618,387
11,0,29,6,209889,423909,6507,62
11,1,28,6,362365,572886,9292,138
11,2,31,5,238087,387896,7910,420
11,3,77,13,415138,450156,15736,176
11,4,94,27,322895,443445,29304,12
11,5,29,9,280741,448706,3874,102
11,6,41,12,216507,454155,11173,59
11,7,55,13,249975,463266,17849,32
11,8,27,7,318701,405266,8065,413
11,9,21,2,369775,429275,5444,272
11,10,48,14,235659,444633,18811,305
11,11,42,7,277979,445341,9034,130
11,12,47,12,337107,441826,24374,418
11,13,58,16,221122,452664,15150,36
11,14,33,8,260521,490358,9934,92
11,15,97,27,439214,433798,42212,194
11,16,34,8,303953,481108,7415,115
11,17,40,9,157059,448992,6627,191
11,18,52,9,261653,440199,29845,5450
11,19,19,3,381717,443163,5391,195
11,20,37,12,286199,385832,9998,445
11,21,52,13,262734,450481,15121,314
11,22,16,4,348708,532957,15719,8183
11,23,97,29,321243,447074,23097,97
11,24,53,17,248050,441706,15894,741
11,25,84,19,285396,470467,24753,3
11,26,43,10,465562,437270,13885,434
11,27,150,45,371977,449276,60489,5810
11,28,77,20,336745,452937,29919,112
11,29,79,21,403791,462510,31289,419
11,30,33,10,169146,442689,7770,224
11,31,26,7,385774,460741,8016,573
11,32,89,22,272577,444856,19155,45
11,33,39,7,227143,403919,18630,2363
11,34,38,14,268962,432019,13275,569
11,35,16,4,249396,385793,4798,235
11,36,57,25,242427,446820,21165,1969
11,37,10,4,600683,588732,6070,1754
11,38,27,9,170224,478388,8120,164
11,39,106,24,443969,454304,52728,0
11,40,35,5,379397,426485,11430,203
11,41,60,14,413597,426193,15821,444
11,42,44,11,319564,462292,12614,321
11,43,32,9,213013,458797,24108,15720
11,44,54,10,591299,470518,29962,437
